file,jam_bw_hz,jammer_mode,sample_rate,chan_spacing,chan_bw_hz,guard_hz,num_chans,max_attempts,fft_size,time_bins,hop_every_cols,mute_time_cols,center_channels_around_dc
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0000_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0001_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0002_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0003_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0004_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0005_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0006_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0007_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0008_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0009_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0010_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0011_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0012_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0013_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0014_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0015_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0016_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0017_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0018_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
cnn_fhss_clean_pgms/jam_bw_200000Hz/spec_bw200000_img0019_mode-centered.pgm,200000.0,centered,2000000.0,200000.0,60000.0,2000.0,8,64,128,256,6,2,True
